ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
bmr,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside,antibiotic efflux,bmr
bmr,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol,antibiotic efflux,bmr
BOR-1,BOR beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BOR-1
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycopeptide,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycylcycline,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,nucleoside,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,peptide,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,tetracycline,antibiotic target alteration,Bbur_16S_GEN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycopeptide,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycylcycline,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,nucleoside,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,peptide,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,tetracycline,antibiotic target alteration,Bbur_16S_KAN
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycopeptide,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycylcycline,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,nucleoside,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,peptide,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,tetracycline,antibiotic target alteration,Bbur_16S_SPT
Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,antibiotic-resistant murA transferase,phosphonic acid,antibiotic target alteration,Bbur_mur_FOF
BPU-1,BPU Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BPU-1
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,lincosamide,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,macrolide,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,phenicol,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,pleuromutilin,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin A,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin B,antibiotic target alteration,Bhyo_23S_TYL
Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin,antibiotic target alteration,Bhyo_23S_TYL
BRO-1,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BRO-1
BRO-2,BRO Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BRO-2
BRP(MBL),Bleomycin resistant protein,glycopeptide,antibiotic inactivation,BRP(MBL)
Brucella suis mprF,defensin resistant mprF,peptide,antibiotic target alteration,Bsui_mprF
BSU-1,BSU beta-lactamase,carbapenem,antibiotic inactivation,BSU-1
Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone,antibiotic target alteration,Bdol_gyrA_FLO
Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,nybomycin-like,antibiotic target alteration,Bdol_gyrA_FLO
Burkholderia pseudomallei Omp38,General Bacterial Porin with reduced permeability to beta-lactams,carbapenem,reduced permeability to antibiotic,Bpse_Omp38
Burkholderia pseudomallei Omp38,General Bacterial Porin with reduced permeability to beta-lactams,cephalosporin,reduced permeability to antibiotic,Bpse_Omp38
Burkholderia pseudomallei Omp38,General Bacterial Porin with reduced permeability to beta-lactams,monobactam,reduced permeability to antibiotic,Bpse_Omp38
Burkholderia pseudomallei Omp38,General Bacterial Porin with reduced permeability to beta-lactams,penicillin beta-lactam,reduced permeability to antibiotic,Bpse_Omp38
BUT-1,BUT beta-lactamase,cephalosporin,antibiotic inactivation,BUT-1
BUT-2,BUT beta-lactamase,cephalosporin,antibiotic inactivation,BUT-2
CAE-1,CAE beta-lactamase,cephalosporin,antibiotic inactivation,CAE-1
CAE-1,CAE beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CAE-1
CAM-1,CAM beta-lactamase,carbapenem,antibiotic inactivation,CAM-1
CAM-1,CAM beta-lactamase,cephalosporin,antibiotic inactivation,CAM-1
CAM-1,CAM beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CAM-1
CAM-2,CAM beta-lactamase,carbapenem,antibiotic inactivation,CAM-2
CAM-2,CAM beta-lactamase,cephalosporin,antibiotic inactivation,CAM-2
CAM-2,CAM beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CAM-2
Campylobacter coli chloramphenicol acetyltransferase,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,Ccol_ACT_CHL
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,lincosamide,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,macrolide,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,phenicol,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,pleuromutilin,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin A,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin B,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin,antibiotic target alteration,Cjej_23S_ERY
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone,antibiotic target alteration,Cjej_gyrA_FLO
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,nybomycin-like,antibiotic target alteration,Cjej_gyrA_FLO
Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone,antibiotic target alteration,Cgin_gyrA_FLO
Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,nybomycin-like,antibiotic target alteration,Cgin_gyrA_FLO
CAR-1,CAR beta-lactamase,carbapenem,antibiotic inactivation,CAR-1
carA,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide,antibiotic target protection,carA
CARB-1,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-1
CARB-10,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-10
CARB-11,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-11
CARB-12,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-12
CARB-14,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-14
CARB-16,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-16
CARB-17,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-17
CARB-18,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-18
CARB-19,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-19
CARB-2,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-2
CARB-20,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-20
CARB-21,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-21
CARB-22,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-22
CARB-23,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-23
CARB-24,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-24
CARB-25,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-25
CARB-26,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-26
CARB-27,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-27
CARB-28,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-28
CARB-29,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-29
CARB-3,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-3
CARB-30,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-30
CARB-31,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-31
CARB-32,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-32
CARB-33,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-33
CARB-34,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-34
CARB-35,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-35
CARB-36,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-36
CARB-38,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-38
CARB-4,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-4
CARB-40,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-40
CARB-41,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-41
CARB-42,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-42
CARB-43,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-43
CARB-44,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-44
CARB-45,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-45
CARB-46,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-46
CARB-47,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-47
CARB-48,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-48
CARB-49,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-49
CARB-5,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-5
CARB-50,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-50
CARB-51,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-51
CARB-52,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-52
CARB-53,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-53
CARB-54,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-54
CARB-55,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-55
CARB-56,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-56
CARB-57,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-57
CARB-58,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-58
CARB-6,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-6
CARB-7,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-7
CARB-8,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-8
CARB-9,CARB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CARB-9
carO,CarO porin,carbapenem,reduced permeability to antibiotic;resistance by absence,carO
catA1,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catA1
catA4,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catA4
catA8,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catA8
catB10,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB10
catB11,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB11
catB2,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB2
catB3,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB3
catB8,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB8
catB9,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catB9
catII,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catII
catII from Escherichia coli K-12,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,Ecol_catII
catIII,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catIII
catP,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catP
catQ,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catQ
catS,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catS
CatU,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,CatU
catV,chloramphenicol acetyltransferase (CAT),phenicol,antibiotic inactivation,catV
CAU-1,CAU beta-lactamase,carbapenem,antibiotic inactivation,CAU-1
CAU-1,CAU beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CAU-1
CblA-1,CblA beta-lactamase,cephalosporin,antibiotic inactivation,CblA-1
CBP-1,CBP beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CBP-1
CcrA,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CcrA
CDA-1,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,carbapenem,antibiotic inactivation,CDA-1
CDA-1,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,cephalosporin,antibiotic inactivation,CDA-1
CDA-1,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,monobactam,antibiotic inactivation,CDA-1
CDA-1,CDA beta-lactamase;CTX-M beta-lactamase;SHV beta-lactamase;TEM beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CDA-1
CDD-1,CDD beta-lactamase,carbapenem,antibiotic inactivation,CDD-1
CDD-2,CDD beta-lactamase,carbapenem,antibiotic inactivation,CDD-2
cdeA,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics,antibiotic efflux,cdeA
cdeA,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone,antibiotic efflux,cdeA
ceoA,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside,antibiotic efflux,ceoA
ceoA,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone,antibiotic efflux,ceoA
ceoB,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside,antibiotic efflux,ceoB
ceoB,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone,antibiotic efflux,ceoB
cepA,CepA beta-lactamase,cephalosporin,antibiotic inactivation,cepA
CepA-29,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-29
CepA-44,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-44
CepA-49,CepA beta-lactamase,cephalosporin,antibiotic inactivation,CepA-49
CepS,CepS beta-lactamase,cephalosporin,antibiotic inactivation,CepS
CFE-1,CMY beta-lactamase,cephalosporin,antibiotic inactivation,CFE-1
CFE-2,CMY beta-lactamase,cephalosporin,antibiotic inactivation,CFE-2
CfiA10,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA10
CfiA11,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA11
CfiA14,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA14
CfiA17,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA17
CfiA18,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA18
CfiA19,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA19
CfiA2,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA2
CfiA21,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA21
CfiA22,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA22
CfiA23,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA23
CfiA24,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA24
CfiA26,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA26
CfiA27,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA27
CfiA28,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA28
CfiA29,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA29
CfiA30,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA30
CfiA31,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA31
CfiA4,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA4
CfiA8,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA8
CfiA9,CfiA beta-lactamase,carbapenem,antibiotic inactivation,CfiA9
cfrA,Cfr 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,cfrA
cfrA,Cfr 23S ribosomal RNA methyltransferase,oxazolidinone,antibiotic target alteration,cfrA
cfrA,Cfr 23S ribosomal RNA methyltransferase,phenicol,antibiotic target alteration,cfrA
cfrA,Cfr 23S ribosomal RNA methyltransferase,pleuromutilin,antibiotic target alteration,cfrA
cfrA,Cfr 23S ribosomal RNA methyltransferase,streptogramin A,antibiotic target alteration,cfrA
cfrA,Cfr 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,cfrA
cfr(B),Cfr 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,cfr(B)
cfr(B),Cfr 23S ribosomal RNA methyltransferase,oxazolidinone,antibiotic target alteration,cfr(B)
cfr(B),Cfr 23S ribosomal RNA methyltransferase,phenicol,antibiotic target alteration,cfr(B)
cfr(B),Cfr 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,cfr(B)
cfrC,Cfr 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,cfrC
cfrC,Cfr 23S ribosomal RNA methyltransferase,oxazolidinone,antibiotic target alteration,cfrC
cfrC,Cfr 23S ribosomal RNA methyltransferase,phenicol,antibiotic target alteration,cfrC
cfrC,Cfr 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,cfrC
cfr(D),Cfr 23S ribosomal RNA methyltransferase,glycopeptide,antibiotic target alteration,cfr(D)
cfr(D),Cfr 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,cfr(D)
cfr(D),Cfr 23S ribosomal RNA methyltransferase,oxazolidinone,antibiotic target alteration,cfr(D)
cfr(D),Cfr 23S ribosomal RNA methyltransferase,phenicol,antibiotic target alteration,cfr(D)
cfr(D),Cfr 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,cfr(D)
cfrE,Cfr 23S ribosomal RNA methyltransferase,lincosamide,antibiotic target alteration,cfrE
cfrE,Cfr 23S ribosomal RNA methyltransferase,oxazolidinone,antibiotic target alteration,cfrE
cfrE,Cfr 23S ribosomal RNA methyltransferase,phenicol,antibiotic target alteration,cfrE
cfrE,Cfr 23S ribosomal RNA methyltransferase,pleuromutilin,antibiotic target alteration,cfrE
cfrE,Cfr 23S ribosomal RNA methyltransferase,streptogramin,antibiotic target alteration,cfrE
CfxA,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA
CfxA2,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA2
CfxA3,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA3
CfxA4,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA4
CfxA5,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA5
CfxA6,CfxA beta-lactamase,cephalosporin,antibiotic inactivation,CfxA6
CGA-1,CGA beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CGA-1
CGB-1,CGB beta-lactamase,carbapenem,antibiotic inactivation,CGB-1
CGB-1,CGB beta-lactamase,cephalosporin,antibiotic inactivation,CGB-1
CGB-1,CGB beta-lactamase,penicillin beta-lactam,antibiotic inactivation,CGB-1
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,lincosamide,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,macrolide,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,phenicol,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,pleuromutilin,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin A,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin B,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin,antibiotic target alteration,Ctra_23S_MAC
Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin,antibiotic-resistant murA transferase,phosphonic acid,antibiotic target alteration,Ctra_murA_FOF
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycopeptide,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,glycylcycline,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,nucleoside,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,peptide,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,tetracycline,antibiotic target alteration,Crei_16rrnS_STR
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,lincosamide,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,macrolide,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,phenicol,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,pleuromutilin,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin A,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin B,antibiotic target alteration,Crei_23S_ERY
Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,23S rRNA with mutation conferring resistance to macrolide antibiotics,streptogramin,antibiotic target alteration,Crei_23S_ERY
Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside,antibiotic target alteration,Cpsi_16S_SPT
